label,area_filled,axis_major_length,axis_minor_length,feret_diameter_max
411,108.0,20.45456738845732,4.04499434694746,17.4928556845359
428,195.0,24.19058796749859,7.529510234032723,19.87460691435179
475,137.0,14.223578300702307,5.043139277524092,14.45683229480096
483,294.0,20.410244068333935,4.9751788347013015,19.6468827043885
504,348.0,10.65878519261871,6.5964963279767455,11.445523142259598
536,136.0,7.008815838497213,6.125937242403032,7.874007874011811
556,141.0,12.494726199931554,6.122397101423849,12.727922061357855
565,186.0,20.8553008614314,5.049815511533344,18.681541692269406
571,131.0,13.811469327003381,5.127963558446458,13.341664064126334
584,138.0,7.812726505771256,4.957214527263597,8.12403840463596
600,181.0,15.391977770457746,7.927677428771371,18.138357147217054
683,147.0,15.493344319816373,6.437136724394377,16.34013463836819
694,128.0,14.69163256214456,4.482930947532827,14.798648586948742
701,183.0,15.343545469119025,7.087267182705313,15.7797338380595
754,183.0,16.601923657880505,4.506466687088774,16.278820596099706
796,256.0,18.9248361077059,5.846289173989824,20.615528128088304
813,113.0,8.323762027377834,4.187116066549483,9.433981132056603
829,268.0,16.993417900262006,8.069887295161124,18.384776310850235
835,206.0,12.21361202897395,4.059616954657544,12.569805089976535
844,144.0,18.270425240744377,5.548724713323093,18.2208671582886
859,146.0,34.677240776978046,5.323429161954953,25.709920264364882
892,129.0,19.542707729393182,5.726166325010424,19.0
896,152.0,17.158863384228063,4.061759749459688,16.822603841260722
919,121.0,7.495338047900609,5.144004762952304,9.0
921,130.0,19.429333652968808,3.4467939150582736,14.798648586948742
928,203.0,24.78041082114871,4.579490798670216,22.9128784747792
963,516.0,23.140147900905472,8.54982828878325,19.748417658131498
978,112.0,13.561321545098776,5.438519201080003,12.884098726725126
986,11101.0,44.485386599206365,22.111301797652224,42.24926034855522
992,182.0,14.020976838493773,5.671392129781066,13.45362404707371
1103,129.0,15.846861063775139,3.82465372288555,14.966629547095765
1199,275.0,21.14790278424851,5.776152159671317,21.047565179849187
1218,197.0,20.760805338777143,6.273545636077473,21.213203435596427
1237,151.0,20.917159618620733,5.266915064743838,20.615528128088304
1246,5500.0,24.124101258561772,20.297747330849994,26.019223662515376
1302,273.0,13.2162807950419,6.964966351948036,14.0
1330,172.0,16.298848954084868,5.339530256479511,18.24828759089466
1369,131.0,20.547607104233375,5.036444882417479,16.30950643030009
1373,128.0,17.457533302818472,8.593088313456967,16.583123951777
1391,232.0,21.199266442309757,8.410551229784028,21.307275752662516
1406,118.0,10.516521671339307,4.713463801293132,11.224972160321824
1420,145.0,18.687881264732173,5.109113682369383,17.72004514666935
